"iso3","year","type","l","headcount","pop","p"
"AGO",2008,3,0.5,0.00762407,19842251,151278.71058157
"AGO",2008,3,1,0.0758903,19842251,1505834.3810653
"AGO",2008,3,1.5,0.191938,19842251,3808481.972438
"AGO",2008,3,2,0.329267,19842251,6533398.460017
"AGO",2008,3,2.5,0.429113,19842251,8514567.853363
"AGO",2008,3,3,0.528838,19842251,10493336.334338
"AGO",2008,3,3.5,0.604654,19842251,11997696.436154
"AGO",2008,3,4,0.964389,19842251,19135648.599639
"AGO",2008,3,4.5,0.720606,19842251,14298445.124106
"AGO",2008,3,5,0.760364,19842251,15087333.339364
"AGO",2008,3,5.5,0.79407,19842251,15756136.25157
"AGO",2008,3,6,0.828282,19842251,16434979.342782
"AGO",2008,3,6.5,0.857204,19842251,17008856.926204
"AGO",2008,3,7,0.875209,19842251,17366116.655459
"AGO",2008,3,7.5,0.964389,19842251,19135648.599639
"AGO",2008,3,8,0.907355,19842251,18003965.656105
"AGO",2008,3,8.5,0.916486,19842251,18185145.249986
"AGO",2008,3,9,0.926296,19842251,18379797.732296
"AGO",2008,3,9.5,0.935497,19842251,18562366.283747
"AGO",2008,3,10,0.944753,19842251,18746026.159003
"AGO",2008,3,10.5,0.949459,19842251,18839403.792209
"AGO",2008,3,11,0.956268,19842251,18974509.679268
"AGO",2008,3,11.5,0.960379,19842251,19056081.173129
"AGO",2008,3,12,0.964389,19842251,19135648.599639
"AGO",2008,3,12.5,0.96931,19842251,19233292.31681
"AGO",2008,3,13,0.972094,19842251,19288533.143594
"AGO",2008,3,13.5,0.975475,19842251,19355619.794225
"AGO",2008,3,14,0.977909,19842251,19403915.833159
"AGO",2008,3,14.5,0.979684,19842251,19439135.828684
"AGO",2008,3,15,0.981159,19842251,19468403.148909
"AGO",2008,3,15.5,0.981515,19842251,19475466.990265
"AGO",2008,3,16,0.982948,19842251,19503900.935948
"AGO",2008,3,16.5,0.98358,19842251,19516441.23858
"AGO",2008,3,17,0.984143,19842251,19527612.425893
"AGO",2008,3,17.5,0.98555,19842251,19555530.47305
"AGO",2008,3,18,0.986674,19842251,19577833.163174
"ALB",2012,3,0.5,0,2880667,0
"ALB",2012,3,1,0.00131929,2880667,3800.43516643
"ALB",2012,3,1.5,0.00455198,2880667,13112.73857066
"ALB",2012,3,2,0.0120914,2880667,34831.2969638
"ALB",2012,3,2.5,0.0311492,2880667,89730.4725164
"ALB",2012,3,3,0.0602175,2880667,173466.5650725
"ALB",2012,3,3.5,0.106652,2880667,307228.896884
"ALB",2012,3,4,0.170115,2880667,490044.666705
"ALB",2012,3,4.5,0.241366,2880667,695295.071122
"ALB",2012,3,5,0.321285,2880667,925515.097095
"ALB",2012,3,5.5,0.391291,2880667,1127179.071097
"ALB",2012,3,6,0.450993,2880667,1299160.652331
"ALB",2012,3,6.5,0.507293,2880667,1461342.204431
"ALB",2012,3,7,0.564361,2880667,1625736.108787
"ALB",2012,3,7.5,0.62387,2880667,1797161.72129
"ALB",2012,3,8,0.670041,2880667,1930164.997347
"ALB",2012,3,8.5,0.709449,2880667,2043686.322483
"ALB",2012,3,9,0.743312,2880667,2141234.349104
"ALB",2012,3,9.5,0.777244,2880667,2238981.141748
"ALB",2012,3,10,0.805105,2880667,2319239.405035
"ALB",2012,3,10.5,0.829427,2880667,2389302.987809
"ALB",2012,3,11,0.507293,2880667,1461342.204431
"ALB",2012,3,11.5,0.8714,2880667,2510213.2238
"ALB",2012,3,12,0.888447,2880667,2559319.954149
"ALB",2012,3,12.5,0.901697,2880667,2597488.791899
"ALB",2012,3,13,0.914935,2880667,2635623.061645
"ALB",2012,3,13.5,0.925526,2880667,2666132.205842
"ALB",2012,3,14,0.932426,2880667,2686008.808142
"ALB",2012,3,14.5,0.942284,2880667,2714406.423428
"ALB",2012,3,15,0.949148,2880667,2734179.321716
"ALB",2012,3,15.5,0.954298,2880667,2749014.756766
"ALB",2012,3,16,0.960268,2880667,2766212.338756
"ALB",2012,3,16.5,0.964701,2880667,2778982.335567
"ALB",2012,3,17,0.967623,2880667,2787399.644541
"ALB",2012,3,17.5,0.97065,2880667,2796119.42355
"ALB",2012,3,18,0.973694,2880667,2804888.173898
"ARG",2013,2,0.5,0.00633833,42538304,269621.80839232
"ARG",2013,2,1,0.0087104,42538304,370525.6431616
"ARG",2013,2,1.5,0.0125209,42538304,532617.8505536
"ARG",2013,2,2,0.0185315,42538304,788298.580576
"ARG",2013,2,2.5,0.0262058,42538304,1114750.2869632
"ARG",2013,2,3,0.0341451,42538304,1452474.6439104
"ARG",2013,2,3.5,0.04382,42538304,1864028.48128
"ARG",2013,2,4,0.363832,42538304,15476796.220928
"ARG",2013,2,4.5,0.0711512,42538304,3026651.3755648
